Токен,Тег_1,Тег_2
Входим,VERB,
в,ADP,
дом,NOUN,
",",,
открыв,VERB,
дверь,NOUN,
",",,
попадаем,VERB,
в,ADP,
кухню,NOUN,
:,,
печь,NOUN,
",",,
налево,ADV,
окно,NOUN,
",",,
рядом,ADV,
небольшой,ADJ,
стол,NOUN,
",",,
керосиновая,ADJ,
лампа,NOUN,
и,CONJ,
три,NUM,
деревянных,ADJ,
стула,NOUN,
.,,
Ушла,VERB,
она,PRON,
в,ADP,
свою,DET,
комнату,NOUN,
",",,
а,CONJ,
меня,PRON,
соседка,NOUN,
(,,
милейшая,ADJ,
женщина,NOUN,
),,
пригласила,VERB,
",",,
научила,VERB,
немецкий,ADJ,
сливовый,ADJ,
пирог,NOUN,
печь,VERB,
",",,
успокоила,VERB,
меня,PRON,
(,,
у,ADP,
нее,PRON,
дети,NOUN,
в,ADP,
моем,DET,
возрасте,NOUN,
),,
.,,
Сидели,VERB,
мы,PRON,
",",,
значит,ADV,VERB
",",,
с,ADP,
ним,PRON,
в,ADP,
кафе,NOUN,
",",,
ели,VERB,
",",,
пили,VERB,
.,,
Они,PRON,
делаются,VERB,
тоже,ADV,
из,ADP,
сухой,ADJ,
ели,NOUN,
и,CONJ,
устанавливаются,VERB,
на,ADP,
расстоянии,NOUN,
5,NUM,
-,,
6,NUM,
см,NOUN,
друг,PRON,
от,ADP,
друга,PRON,
.,,
Старые,ADJ,
ведьмы,NOUN,
раздавали,VERB,
пищу,NOUN,
и,CONJ,
питье,NOUN,
:,,
горячую,ADJ,
кровь,NOUN,
",",,
вареных,VERB,
в,ADP,
гное,NOUN,
жаб,NOUN,
",",,
куски,NOUN,
человеческих,ADJ,
сердец,NOUN,
и,CONJ,
почек,NOUN,
",",,
потроха,NOUN,
",",,
украденные,VERB,
из,ADP,
трупов,NOUN,
.,,
Ну,PART,
",",,
к,ADP,
примеру,NOUN,
",",,
когда,CONJ,
этот,DET,
малограмотный,ADJ,
барыга,NOUN,
Прохоров,NOUN,
еще,ADV,
торговал,VERB,
вареными,ADJ,
джинсами,NOUN,
на,ADP,
рижском,ADJ,
рынке,NOUN,
",",,
я,PRON,
уже,ADV,
ездил,VERB,
в,ADP,
Куршевель,NOUN,
.,,
Секундный,ADJ,
",",,
как,ADV,
бы,PART,
рассеянный,ADJ,
взгляд,NOUN,
;,,
окружающим,NOUN,ADJ
показалось,VERB,
",",,
что,CONJ,
король,NOUN,
смотрит,VERB,
в,ADP,
потолок,NOUN,
.,,
Эффект,NOUN,
слуховых,ADJ,
рожков,NOUN,
связывают,VERB,
с,ADP,
концентрацией,NOUN,
ими,PRON,
рассеянной,VERB,
акустической,ADJ,
энергии,NOUN,
и,CONJ,
подведением,NOUN,
ее,PRON,
к,ADP,
слуховому,ADJ,
проходу,NOUN,
.,,
Остальные,ADJ,
бомбы,NOUN,
разорвались,VERB,
вблизи,ADP,
вокзала,NOUN,
.,,
Сама,DET,
же,PART,
Клодия,NOUN,
была,VERB,
женой,NOUN,
Метелла,NOUN,
—,,
того,DET,
знатного,ADJ,
сенатора,NOUN,
",",,
в,ADP,
свиту,NOUN,
которого,CONJ,PRON
судьба,NOUN,
привела,VERB,
безродного,ADJ,
веронца,NOUN,
",",,
чтобы,CONJ,
он,PRON,
мог,VERB,
увидеть,VERB,
вблизи,ADV,
ослепительное,ADJ,
божество,NOUN,
.,,
Немцы,NOUN,
-,,
таки,INTJ,
вошли,VERB,
в,ADP,
Париж,NOUN,
вчера,ADV,
утром,NOUN,ADV
.,,
А.,NOUN,
Е.,NOUN,
Ферсман,NOUN,
назначает,VERB,
отъезд,NOUN,
в,ADP,
21,NUM,
час,NOUN,
.,,
Маршрут,NOUN,
Белорецк,NOUN,
-,,
Магнитогорск,NOUN,
.,,
С,ADP,
нами,PRON,
должен,VERB,
выехать,VERB,
хромитовый,ADJ,
отряд,NOUN,
",",,
он,PRON,
закончил,VERB,
свою,DET,
кампанию,NOUN,
.,,
Даже,PART,
не,PART,
из-за,ADP,
нагрузок,NOUN,
",",,
а,CONJ,
из-за,ADP,
возраста,NOUN,
:,,
жизнь,NOUN,
легка,ADJ,
",",,
ответственности,NOUN,
почти,ADV,
никакой,DET,
.,,
Но,CONJ,
с,ADP,
другой,ADJ,
стороны,NOUN,
",",,
я,PRON,
же,PART,
ведь,PART,
не,PART,
хотел,VERB,
этим,DET,
настоящим,ADJ,
мечом,NOUN,
по-настоящему,ADV,
рубить,VERB,
людей,NOUN,
.,,
Через,ADP,
год,NOUN,
",",,
надеюсь,VERB,ADV
",",,
откроем,VERB,
в,ADP,
Йошкар-Олинском,ADJ,
медицинском,ADJ,
колледже,NOUN,
факультет,NOUN,
зубных,ADJ,
врачей,NOUN,
",",,
чтобы,CONJ,
снять,VERB,
остроту,NOUN,
кадровой,ADJ,
проблемы,NOUN,
в,ADP,
стоматологии,NOUN,
.,,
На,ADP,
несколько,NUM,
дней,NOUN,
задержалась,VERB,
в,ADP,
Нью-Йорке,NOUN,
и,CONJ,
Денвере,NOUN,
.,,
При,ADP,
личном,ADJ,
обыске,NOUN,
Тарасевича,NOUN,
найден,VERB,
пузырек,NOUN,
с,ADP,
какой-то,DET,
жидкостью,NOUN,
.,,
Из,ADP,
Петербурга,NOUN,
в,ADP,
Лондон,NOUN,
на,ADP,
IV,ADJ,
Олимпиаду,NOUN,
едут,VERB,
спортсмены,NOUN,
:,,
Петровский,NOUN,
",",,
Лидваль,NOUN,
",",,
Шемякин,NOUN,
.,,
Умер,VERB,
санитар,NOUN,
Тетерников,NOUN,
.,,
Заболел,VERB,
санитар,NOUN,
Резвых,NOUN,
.,,
Простое,ADJ,
наименование,NOUN,
вещей,NOUN,
",",,
перечисление,NOUN,
предметов,NOUN,
есть,VERB,
уже,ADV,
элемент,NOUN,
поэзии,NOUN,
",",,
от,ADP,
Гомера,NOUN,
до,ADP,
перечней,NOUN,
Андре,NOUN,
Жида,NOUN,
.,,
Управлять,VERB,
почти,ADV,
"15,5",NUM,
тыс,NOUN,NUM
.,,
га,NOUN,
с,ADP,
пользой,NOUN,
для,ADP,
города,NOUN,
—,,
почти,ADV,
искусство,NOUN,
А,PART,CONJ
ещё,ADV,
от,ADP,
своего,DET,
дяди,NOUN,
Валентина,NOUN,
Яковлевна,NOUN,
запомнила,VERB,
скобарскую,NOUN,
(,,
частушка,NOUN,
",",,
исполняемая,VERB,
на,ADP,
особый,ADJ,
манер,NOUN,
",",,
сугубо,ADV,
мужская,ADJ,
",",,
агрессивная,ADJ,
.,,
—,,
Прим,NOUN,
.,,
ред,NOUN,
.,,
),,
:,,
В,ADP,
Старой,ADJ,
Руссе,NOUN,
мы,PRON,
бывали,VERB,
.,,
Сегодня,ADV,
короче,INTJ,
все,PRON,
симпим,VERB,
ему,PRON,
.,,
У,ADP,
кого,PRON,CONJ
с,ADP,
ним,PRON,
пара,NOUN,
",",,
напишите,VERB,
ченить,DET,
приятное,ADJ,
в,ADP,
чатик,NOUN,
",",,
порадуйте,VERB,
старика,NOUN,
Дорогая,ADJ,
Полина,NOUN,
поздравляем,VERB,
тебя,PRON,
с,ADP,
тем,PRON,
что,CONJ,
ты,PRON,
заспавнилась,VERB,
в,ADP,
22,NUM,
раз,NOUN,
сегодня,ADV,
я,PRON,
коупила,VERB,
по,ADP,
поводу,NOUN,
того,PRON,
что,CONJ,
предмет,NOUN,
"""",,
чешский,ADJ,
"""",,
существует,VERB,
То,PRON,
",",,
что,CONJ,
возникает,VERB,
от,ADP,
воздействия,NOUN,
на,ADP,
мозг,NOUN,
–,,
это,PART,
галюники,NOUN,
",",,
а,CONJ,
то,PRON,
",",,
что,CONJ,
происходит,VERB,
в,ADP,
результате,NOUN,
переживания,NOUN,
души,NOUN,
это,PART,
виденья,NOUN,
или,CONJ,
видения,NOUN,
Вам,PRON,
когда-нибудь,ADV,
хотелось,ADV,
типа,INTJ,
сесть,VERB,
на,ADP,
бэбича,NOUN,
Скоро,ADV,
у,ADP,
нас,PRON,
с,ADP,
Подобряичем,NOUN,
забой,NOUN,
с,ADP,
неким,DET,
"""",,
Судо,NOUN,
"""",,
.,,
сочиняю,VERB,
панчи,NOUN,
покашт,ADV,
.,,
возможный,ADJ,
ремув,NOUN,
тех,PRON,
перед,ADP,
кем,PRON,CONJ
не,PART,
хочется,VERB,
позориться,VERB,
Парк,NOUN,
Горького,NOUN,
ожил,VERB,
:,,
катаемся,VERB,
на,ADP,
самике,NOUN,
",",,
открыли,VERB,
сезон,NOUN,
самого,ADJ,
крутого,ADJ,
пломбира,NOUN,
на,ADP,
палочке,NOUN,
Рисую,VERB,
пишу,VERB,
фички,NOUN,
инфодамплю,VERB,
Окончила,VERB,
химический,ADJ,
факультет,NOUN,
мгу,NOUN,
",",,
занимала,VERB,
различные,ADJ,
должности,NOUN,
в,ADP,
оборонной,ADJ,
промышленности,NOUN,
.,,
План,NOUN,
работы,NOUN,
ВМО,NOUN,
по,ADP,
управлению,NOUN,
образованием,NOUN,
в,ADP,
2001,ADJ,
-,,
2002,ADJ,
учебном,ADJ,
году,NOUN,
—,,
Хорошим,ADJ,
подспорьем,NOUN,
в,ADP,
нашей,DET,
работе,NOUN,
",",,
которую,PRON,CONJ
возглавляет,VERB,
профессор,NOUN,
Литманович,NOUN,
",",,
служат,VERB,
гранты,NOUN,
РФФИ,NOUN,
и,CONJ,
РАН,NOUN,
А,CONJ,
лишь,PART,
стригя,VERB,
волосы,NOUN,
и,CONJ,
пекя,VERB,
эпиграммы,NOUN,
.,,
Даже,PART,
едя,VERB,
и,CONJ,
пья,VERB,
",",,
не,PART,
преследуют,VERB,
вкуса,NOUN,
—,,
лишь,PART,
бы,PART,
нажраться,VERB,
.,,
Другими,ADJ,
словами,NOUN,
",",,
надо,ADV,
пометить,VERB,
то,PRON,
",",,
что,CONJ,
нельзя,ADV,
смотреть,VERB,
",",,
а,CONJ,
остальное,ADJ,
значит,ADV,VERB
льзя,ADV,
.,,
Ну,PART,
ниче,PRON,
",",,
в,ADP,
следующем,ADJ,
победю,VERB,
!,,
,NOUN,
,ADJ,
,,
,INTJ,
,INTJ,
,,
,INTJ,
,PRON,
,ADV,
,ADP,
,DET,
,ADJ,
,ADJ,
,NOUN,